Frame,Time (s),Object Count
0,0.00,4
1,0.03,4
2,0.07,4
3,0.10,4
4,0.13,4
5,0.17,4
6,0.20,4
7,0.23,4
8,0.27,4
9,0.30,4
10,0.33,4
11,0.37,4
12,0.40,4
13,0.43,4
14,0.47,4
15,0.50,4
16,0.53,4
17,0.57,4
18,0.60,4
19,0.63,4
20,0.67,4
21,0.70,4
22,0.73,4
23,0.77,4
24,0.80,4
25,0.83,4
26,0.87,4
27,0.90,4
28,0.93,4
29,0.97,4
30,1.00,4
31,1.03,4
32,1.07,4
33,1.10,4
34,1.13,4
35,1.17,4
36,1.20,4
37,1.23,4
38,1.27,4
39,1.30,4
40,1.33,4
41,1.37,4
42,1.40,4
43,1.43,4
44,1.47,4
45,1.50,4
46,1.53,4
47,1.57,4
48,1.60,4
49,1.63,4
50,1.67,4
51,1.70,4
52,1.73,4
53,1.77,4
54,1.80,4
55,1.83,4
56,1.87,4
57,1.90,4
58,1.93,4
59,1.97,4
60,2.00,4
61,2.03,4
62,2.07,4
63,2.10,4
64,2.13,4
65,2.17,4
66,2.20,4
67,2.23,4
68,2.27,4
69,2.30,4
70,2.33,4
71,2.37,4
72,2.40,4
73,2.43,4
74,2.47,4
75,2.50,4
76,2.53,4
77,2.57,4
78,2.60,4
79,2.63,4
80,2.67,4
81,2.70,4
82,2.73,4
83,2.77,4
84,2.80,4
85,2.83,4
86,2.87,4
87,2.90,4
88,2.93,4
89,2.97,4
90,3.00,4
91,3.03,4
92,3.07,4
93,3.10,4
94,3.13,4
95,3.17,4
96,3.20,4
97,3.23,4
98,3.27,4
99,3.30,4
100,3.33,4
101,3.37,4
102,3.40,4
103,3.43,4
104,3.47,4
105,3.50,4
106,3.53,4
107,3.57,4
108,3.60,4
109,3.63,4
110,3.67,4
111,3.70,4
112,3.73,4
113,3.77,4
114,3.80,4
115,3.83,4
116,3.87,4
117,3.90,4
118,3.93,4
119,3.97,4
120,4.00,4
121,4.03,4
122,4.07,4
123,4.10,4
124,4.13,4
125,4.17,4
126,4.20,4
127,4.23,4
128,4.27,4
129,4.30,4
130,4.33,4
131,4.37,4
132,4.40,4
133,4.43,4
134,4.47,4
135,4.50,4
136,4.53,4
137,4.57,4
138,4.60,4
139,4.63,4
140,4.67,4
141,4.70,4
142,4.73,4
143,4.77,4
144,4.80,4
145,4.83,4
146,4.87,4
147,4.90,4
148,4.93,4
149,4.97,4
150,5.00,4
151,5.03,4
152,5.07,4
153,5.10,4
154,5.13,4
155,5.17,4
156,5.20,4
157,5.23,4
158,5.27,4
159,5.30,4
160,5.33,4
161,5.37,4
162,5.40,4
163,5.43,4
164,5.47,4
165,5.50,4
166,5.53,4
167,5.57,4
168,5.60,5
169,5.63,5
170,5.67,5
171,5.70,5
172,5.73,4
173,5.77,4
174,5.80,5
175,5.83,5
176,5.87,5
177,5.90,5
178,5.93,6
179,5.97,6
180,6.00,5
181,6.03,5
182,6.07,5
183,6.10,5
184,6.13,5
185,6.17,5
186,6.20,5
187,6.23,5
188,6.27,5
189,6.30,5
190,6.33,5
191,6.37,5
192,6.40,4
193,6.43,4
194,6.47,4
195,6.50,4
196,6.53,4
197,6.57,4
198,6.60,4
199,6.63,5
200,6.67,5
201,6.70,5
202,6.73,4
203,6.77,4
204,6.80,4
205,6.83,4
206,6.87,4
207,6.90,4
208,6.93,4
209,6.97,4
210,7.00,4
211,7.03,4
212,7.07,4
213,7.10,4
214,7.13,4
215,7.17,4
216,7.20,4
217,7.23,4
218,7.27,4
219,7.30,4
220,7.33,4
221,7.37,4
222,7.40,4
223,7.43,4
224,7.47,4
225,7.50,4
226,7.53,4
227,7.57,4
228,7.60,4
229,7.63,4
230,7.67,4
231,7.70,4
232,7.73,4
233,7.77,4
234,7.80,4
235,7.83,4
236,7.87,4
237,7.90,4
238,7.93,4
239,7.97,4
240,8.00,4
241,8.03,3
242,8.07,3
243,8.10,3
244,8.13,4
245,8.17,4
246,8.20,4
247,8.23,5
248,8.27,5
249,8.30,5
250,8.33,4
251,8.37,4
252,8.40,5
253,8.43,4
254,8.47,4
255,8.50,4
256,8.53,3
257,8.57,3
258,8.60,3
259,8.63,3
260,8.67,3
261,8.70,3
262,8.73,3
263,8.77,3
264,8.80,3
265,8.83,3
266,8.87,3
267,8.90,3
268,8.93,3
269,8.97,3
270,9.00,4
271,9.03,4
272,9.07,4
273,9.10,4
274,9.13,3
275,9.17,3
276,9.20,4
277,9.23,3
278,9.27,3
279,9.30,3
280,9.33,3
281,9.37,3
282,9.40,3
283,9.43,3
284,9.47,3
285,9.50,3
286,9.53,3
287,9.57,3
288,9.60,3
289,9.63,3
290,9.67,3
291,9.70,3
292,9.73,3
293,9.77,3
294,9.80,3
295,9.83,3
296,9.87,3
297,9.90,3
298,9.93,3
299,9.97,3
300,10.00,3
301,10.03,3
302,10.07,3
303,10.10,3
304,10.13,3
305,10.17,3
306,10.20,3
307,10.23,3
308,10.27,3
309,10.30,3
310,10.33,3
311,10.37,3
312,10.40,3
313,10.43,3
314,10.47,3
315,10.50,3
316,10.53,3
317,10.57,3
318,10.60,3
319,10.63,3
320,10.67,3
321,10.70,3
322,10.73,3
323,10.77,3
324,10.80,3
325,10.83,3
326,10.87,3
327,10.90,3
328,10.93,4
329,10.97,4
330,11.00,4
331,11.03,4
332,11.07,4
333,11.10,4
334,11.13,4
335,11.17,4
336,11.20,4
337,11.23,4
338,11.27,4
339,11.30,4
